Temperatura_Max,Temperatura_Min,Umidade_Max,Ventania,Precipitacao,Nuvem,Pressao
32.0,13.8,58.1,6.8,0.0,0.0,1018.2
31.9,14.1,53.9,6.8,0.0,0.0,1017.8
31.9,14.4,49.6,6.4,0.0,0.0,1017.3
31.9,14.7,45.2,6.1,0.0,0.0,1016.9
31.9,14.8,48.4,5.7,0.0,0.0,1017.4
31.9,14.9,51.6,5.7,0.0,0.0,1017.9
31.8,14.9,54.7,5.7,0.0,0.0,1018.4
31.8,16.5,49.7,5.7,0.0,0.0,1018.9
31.7,18.0,46.0,5.8,0.0,0.0,1019.4
31.7,18.0,43.2,5.9,0.0,0.0,1019.9
31.7,18.0,33.6,5.9,0.0,0.0,1019.2
31.7,18.0,27.1,4.1,0.0,0.0,1018.4
31.9,18.0,23.2,2.3,0.0,0.0,1017.6
32.0,18.0,21.7,2.0,0.0,0.0,1016.8
32.3,17.9,20.3,3.2,0.0,0.0,1016.1
32.6,17.9,18.9,4.3,0.0,0.0,1015.3
32.7,17.9,20.5,5.0,0.0,0.0,1015.6
32.7,17.9,22.6,6.0,0.0,0.0,1015.9
32.7,17.9,25.5,7.2,0.0,0.0,1016.2
32.7,17.9,28.9,7.2,0.0,0.0,1016.9
32.7,17.9,33.9,7.2,0.0,0.0,1017.5
32.7,17.9,40.9,7.1,0.0,0.0,1018.2
32.7,17.9,39.5,7.4,0.0,0.0,1018.1
32.7,17.9,38.3,7.7,0.0,0.0,1018.1
32.7,17.9,37.2,8.0,0.0,0.0,1018.1
32.7,17.9,35.9,8.0,0.0,0.0,1017.6
32.7,17.9,34.4,7.3,0.0,0.0,1017.2
32.7,17.9,32.8,6.6,0.0,0.0,1016.7
32.7,17.9,36.1,5.9,0.0,0.0,1017.1
32.7,17.9,39.4,5.9,0.0,0.0,1017.4
32.6,17.9,42.8,5.9,0.0,0.0,1017.8
